date,humidity,temp,pressure
19961111-21:00,59,17,1013
19961111-22:00,63,16,1012
19961112-00:00,63,16,1013
19961112-01:00,55,16,1013
19961112-02:00,38,21,1014
19961112-03:00,31,24,1015
19961112-04:00,28,26,1015
19961112-05:00,23,28,1014
19961112-06:00,20,30,1014
19961112-07:00,19,30,1013
19961112-08:00,18,31,1012
19961112-09:00,19,31,1010
19961112-10:00,20,30,1011
19961112-11:21,25,28,1010
19961112-12:00,34,25,1011
19961112-13:00,36,24,-9999
19961112-14:00,38,23,1011
19961112-15:00,38,22,1011
19961112-16:00,41,22,1012
19961112-17:00,49,21,1012
19961112-18:00,49,21,1012
19961112-19:00,56,19,1012
19961112-20:00,52,20,1011
19961112-21:00,52,20,1011
19961112-22:00,68,18,1011
19961112-23:00,72,17,1011
19961113-00:00,68,17,-9999
19961113-01:00,60,19,1011
19961113-02:00,None,None,1012
19961113-03:00,56,21,1013
19961113-04:00,44,25,1013
19961113-05:00,41,25,1013
19961113-06:00,39,26,1013
19961113-07:00,32,28,1012
19961113-08:00,23,34,1011
19961113-09:00,37,28,1011
19961113-10:00,35,28,1011
19961113-11:00,42,27,1011
19961113-12:00,47,25,1011
19961113-13:00,57,23,1012
19961113-14:00,57,22,1012
19961113-15:00,60,21,1013
19961113-17:00,60,21,1013
19961113-18:00,60,21,1013
19961113-19:00,64,20,1013
19961113-20:00,64,19,1014
19961113-21:00,64,21,1013
19961113-22:00,53,23,1013
19961113-23:00,64,20,1014
19961114-00:00,64,20,1014
19961114-01:00,60,21,1015
19961114-04:00,57,22,1018
19961114-05:00,36,25,1018
19961114-06:00,36,26,1017
19961114-07:00,32,27,1016
19961114-08:00,25,28,1016
19961114-09:00,26,28,1016
19961114-10:00,25,28,1016
19961114-11:00,26,27,1016
19961114-12:00,36,24,1016
19961114-13:00,43,21,1017
19961114-14:00,49,19,1018
19961114-15:00,52,19,1018
19961114-20:00,59,16,1018
19961114-21:00,63,15,1019
19961114-22:00,67,14,1018
19961114-23:00,67,14,1018
19961115-00:00,67,14,1019
19961115-01:00,63,14,1020
19961115-03:00,59,15,1021
19961115-05:00,41,22,1021
19961115-06:00,38,23,1021
19961115-07:00,36,25,1020
19961115-08:00,26,26,1019
19961115-11:00,29,24,1018
19961115-12:00,38,22,1019
19961115-13:00,52,19,1019
19961115-16:00,59,17,1019
19961115-17:00,59,16,1019
19961115-18:00,63,15,1019
19961115-19:00,63,14,1019
19961115-20:00,63,14,1018
19961115-21:00,67,13,1018
19961115-22:00,72,12,1017
19961115-23:00,67,12,1017
19961116-00:00,67,11,1017
19961116-01:00,62,11,1017
19961116-02:00,58,12,1018
19961116-03:00,45,15,1019
19961116-04:00,39,17,1019
19961116-05:00,32,19,1019
19961116-06:00,None,None,-9999
19961116-07:00,19,24,1017
19961116-08:00,19,25,1016
19961116-09:00,21,25,1015
19961116-10:00,21,25,1015
19961116-11:00,23,23,-9999
19961116-12:00,27,22,-9999
19961116-13:00,39,17,-9999
19961116-14:00,42,17,-9999
19961116-15:00,37,17,1017
19961116-16:00,39,16,1017
19961116-17:00,42,15,-9999
19961116-18:00,44,14,1017
19961116-19:00,44,14,1017
19961116-21:00,58,11,1016
19961116-22:00,58,11,1016
19961117-00:00,58,10,1016
19961117-01:00,62,11,1017
19961117-02:00,58,11,1018
19961117-03:00,44,14,1019
19961117-04:00,37,18,1019
19961117-05:00,31,21,1019
19961117-06:00,27,23,1018
19961117-07:00,19,25,1017
19961117-08:00,19,25,1016
19961117-09:00,17,26,1016
19961117-10:00,18,25,1016
19961117-11:00,22,24,1016
19961117-12:00,27,22,1017
19961117-13:00,37,18,1017
19961117-14:00,45,17,1018
19961117-15:00,42,17,1018
19961117-16:00,39,17,1018
19961117-17:00,42,16,1018
19961117-18:00,59,14,1018
19961117-19:00,55,14,1018
19961117-20:00,51,14,1018
19961117-21:00,58,13,1017
19961117-22:00,62,12,1017
19961117-23:00,58,12,1017
19961118-00:00,51,13,1018
19961118-01:00,51,13,1019
19961118-02:00,39,15,1019
19961118-03:00,39,17,1020
19961118-04:00,29,22,1020
19961118-05:00,22,25,1020
19961118-10:00,16,28,1016
19961118-11:00,28,25,1016
19961118-12:00,38,21,1017
19961118-13:00,38,21,1017
19961118-14:00,40,20,1017
19961118-15:00,37,19,1017
19961118-16:00,40,18,-9999
19961118-17:00,42,17,1017
19961118-18:00,45,16,1017
19961118-19:00,42,17,1017
19961118-21:00,51,15,-9999
19961118-22:00,52,17,1016
19961118-23:00,45,15,1016
19961119-00:00,42,16,-9999
19961119-01:00,42,16,1017
19961119-02:00,39,17,1018
19961119-03:00,35,19,1019
19961119-04:00,37,20,1019
19961119-05:00,25,24,1019
19961119-06:00,24,24,1018
19961119-07:00,28,25,1017
19961119-08:00,24,25,1016
